Name,Date,Close
Quant Active Fund Gr,24-07-2019,176.5809
Quant Active Fund Gr,23-07-2019,179.0266
Quant Active Fund Gr,22-07-2019,179.8519
Quant Active Fund Gr,19-07-2019,180.3844
Quant Active Fund Gr,18-07-2019,183.2364
Quant Active Fund Gr,17-07-2019,185.5142
Quant Active Fund Gr,16-07-2019,184.8477
Quant Active Fund Gr,15-07-2019,184.6251
Quant Active Fund Gr,12-07-2019,184.5683
Quant Active Fund Gr,11-07-2019,183.4576
Quant Active Fund Gr,10-07-2019,180.5929
Quant Active Fund Gr,09-07-2019,182.6783
Quant Active Fund Gr,08-07-2019,181.0041
Quant Active Fund Gr,05-07-2019,186.4998
Quant Active Fund Gr,04-07-2019,188.6398
Quant Active Fund Gr,03-07-2019,187.4397
Quant Active Fund Gr,02-07-2019,186.4436
Quant Active Fund Gr,01-07-2019,185.9327
Quant Active Fund Gr,28-06-2019,185.3163
Quant Active Fund Gr,27-06-2019,184.2701
Quant Active Fund Gr,26-06-2019,183.8267
Quant Active Fund Gr,25-06-2019,182.0233
Quant Active Fund Gr,24-06-2019,181.5477
Quant Active Fund Gr,21-06-2019,181.8231
Quant Active Fund Gr,20-06-2019,182.1284
Quant Active Fund Gr,19-06-2019,179.6819
Quant Active Fund Gr,18-06-2019,180.6364
Quant Active Fund Gr,17-06-2019,180.1579
Quant Active Fund Gr,14-06-2019,182.4792
Quant Active Fund Gr,13-06-2019,183.7583
Quant Active Fund Gr,12-06-2019,184.1438
Quant Active Fund Gr,11-06-2019,185.7021
Quant Active Fund Gr,10-06-2019,185.2833
Quant Active Fund Gr,07-06-2019,184.621
Quant Active Fund Gr,06-06-2019,184.454
Quant Active Fund Gr,04-06-2019,187.8848
Quant Active Fund Gr,03-06-2019,189.3384
Quant Active Fund Gr,31-05-2019,187.5936
Quant Active Fund Gr,30-05-2019,187.9006
Quant Active Fund Gr,29-05-2019,187.1368
Quant Active Fund Gr,28-05-2019,189.4261
Quant Active Fund Gr,27-05-2019,189.8915
Quant Active Fund Gr,24-05-2019,185.2516
Quant Active Fund Gr,23-05-2019,179.9164
Quant Active Fund Gr,22-05-2019,179.6736
Quant Active Fund Gr,21-05-2019,178.7671
Quant Active Fund Gr,20-05-2019,180.1419
Quant Active Fund Gr,17-05-2019,173.5509
Quant Active Fund Gr,16-05-2019,172.9301
Quant Active Fund Gr,15-05-2019,171.9748
Quant Active Fund Gr,14-05-2019,173.3152
Quant Active Fund Gr,13-05-2019,171.632
Quant Active Fund Gr,10-05-2019,175.436
Quant Active Fund Gr,09-05-2019,175.3756
Quant Active Fund Gr,08-05-2019,176.6304
Quant Active Fund Gr,07-05-2019,178.5036
Quant Active Fund Gr,06-05-2019,180.3936
Quant Active Fund Gr,03-05-2019,182.2297
Quant Active Fund Gr,02-05-2019,181.9143
Quant Active Fund Gr,30-04-2019,182.243
Quant Active Fund Gr,26-04-2019,183.6331
Quant Active Fund Gr,25-04-2019,182.1831
Quant Active Fund Gr,24-04-2019,183.4116
Quant Active Fund Gr,23-04-2019,181.9584
Quant Active Fund Gr,22-04-2019,181.2614
Quant Active Fund Gr,18-04-2019,184.5485
Quant Active Fund Gr,16-04-2019,185.6075
Quant Active Fund Gr,15-04-2019,185.0561
Quant Active Fund Gr,12-04-2019,185.0482
Quant Active Fund Gr,11-04-2019,183.4678
Quant Active Fund Gr,10-04-2019,182.4022
Quant Active Fund Gr,09-04-2019,183.2872
Quant Active Fund Gr,08-04-2019,182.6638
Quant Active Fund Gr,05-04-2019,182.0547
Quant Active Fund Gr,04-04-2019,181.1686
Quant Active Fund Gr,03-04-2019,182.4745
Quant Active Fund Gr,02-04-2019,183.8212
Quant Active Fund Gr,01-04-2019,184.5428
Quant Active Fund Gr,31-03-2019,183.7462
Quant Active Fund Gr,29-03-2019,183.7683
Quant Active Fund Gr,28-03-2019,181.616
