Date,Close,Nifty50
05-31-2017,152.4573,9621.25
05-30-2017,150.8903,9624.55
05-29-2017,150.6789,9604.9
05-26-2017,152.196,9595.1
05-25-2017,150.8714,9509.75
05-24-2017,148.3699,9360.55
05-23-2017,148.8667,9386.15
05-22-2017,150.35,9438.25
05-19-2017,150.8953,9427.9
05-18-2017,151.8224,9429.45
05-17-2017,154.5539,9525.75
05-16-2017,153.9213,9512.25
05-15-2017,153.9474,9445.4
05-12-2017,152.7204,9400.9
05-11-2017,153.4957,9422.4
05-10-2017,153.7719,9407.3
05-09-2017,153.2805,9316.85
05-08-2017,152.488,9314.05
05-05-2017,152.0372,9285.3
05-04-2017,152.6536,9359.9
05-03-2017,152.074,9311.95
05-02-2017,152.9873,9313.8
04-28-2017,152.1788,9304.05
04-27-2017,151.822,9342.15
04-26-2017,152.1387,9351.85
04-25-2017,152.4748,9306.6
04-24-2017,152.2265,9217.95
04-21-2017,150.8546,9119.4
04-20-2017,151.2354,9136.4
04-19-2017,150.2753,9103.5
04-18-2017,149.5887,9105.15
04-17-2017,150.499,9139.3
04-13-2017,149.3085,9150.8
04-12-2017,149.1176,9203.45
04-11-2017,149.5357,9237
04-10-2017,148.2445,9181.45
04-07-2017,147.6013,9198.3
04-06-2017,148.7507,9261.95
04-05-2017,148.77,9265.15
04-03-2017,149.1393,9237.85
03-31-2017,146.6926,9173.75
03-30-2017,146.2869,9173.75
03-29-2017,145.8872,9143.8
03-28-2017,145.5239,9100.8
03-27-2017,144.6731,9045.2
03-24-2017,144.3806,9108
03-23-2017,144.2262,9086.3
03-22-2017,143.1658,9030.45
03-21-2017,144.0233,9121.5
03-20-2017,144.64,9126.85
03-17-2017,144.5788,9160.05
03-16-2017,145.188,9153.7
03-15-2017,143.6232,9084.8
03-14-2017,143.2886,9087
03-10-2017,140.3508,8934.55
03-09-2017,141.1872,8927
03-08-2017,141.038,8924.3
03-07-2017,141.625,8946.9
03-06-2017,141.4935,8963.45
03-03-2017,141.2559,8897.55
03-02-2017,139.7174,8899.75
03-01-2017,141.0617,8945.8
02-28-2017,139.9299,8879.6
02-27-2017,139.7802,8896.7
02-23-2017,140.1106,8939.5
02-22-2017,139.452,8926.9
02-21-2017,139.7009,8907.85
02-20-2017,139.4874,8879.2
02-17-2017,139.0336,8821.7
02-16-2017,138.3375,8778
02-15-2017,136.8125,8724.7
02-14-2017,138.3969,8792.3
02-13-2017,138.2999,8805.05
02-10-2017,138.4147,8793.55
02-09-2017,137.9522,8778.4
02-08-2017,137.715,8769.05
02-07-2017,137.0997,8768.3
02-06-2017,137.2838,8801.05
02-03-2017,136.6699,8740.95
02-02-2017,137.0968,8734.25
02-01-2017,136.3556,8716.4
01-31-2017,134.504,8561.3
01-30-2017,136.3928,8632.75
01-27-2017,136.2181,8641.25
01-25-2017,135.107,8602.75
01-24-2017,134.5926,8475.8
01-23-2017,133.8025,8391.5
01-20-2017,133.2901,8349.35
01-19-2017,135.0718,8435.1
01-18-2017,135.0264,8417
01-17-2017,134.6398,8398
01-16-2017,134.6076,8412.8
01-13-2017,134.2616,8400.35
01-12-2017,134.3034,8407.2
01-11-2017,134.0958,8380.65
01-10-2017,133.1486,8288.6
01-09-2017,133.1753,8236.05
01-06-2017,132.5351,8243.8
01-05-2017,133.1468,8273.8
01-04-2017,132.1796,8190.5
01-03-2017,132.0832,8192.25
01-02-2017,131.2128,8179.5
12-30-2016,130.9582,8185.8
12-29-2016,129.1959,8103.6
12-28-2016,128.0934,8034.85
12-27-2016,127.2346,8032.85
12-26-2016,125.5882,7908.25
12-23-2016,127.4117,7985.75
12-22-2016,127.5092,7979.1
12-21-2016,129.2362,8061.3
12-20-2016,129.8638,8082.4
12-19-2016,131.5319,8104.35
12-16-2016,132.3661,8139.45
12-15-2016,131.7836,8153.6
12-14-2016,131.5564,8182.45
12-13-2016,131.955,8221.8
12-12-2016,131.7047,8170.8
12-09-2016,132.5482,8261.75
12-08-2016,132.6579,8246.85
12-07-2016,130.5223,8102.05
12-06-2016,131.3154,8143.15
12-05-2016,131.0271,8128.75
12-02-2016,130.7567,8086.8
12-01-2016,131.9729,8192.9
11-30-2016,132.7825,8224.5
11-29-2016,131.5047,8142.15
11-28-2016,131.3643,8126.9
11-25-2016,131.3618,8114.3
11-24-2016,128.8434,7965.5
11-23-2016,128.707,8033.3
11-22-2016,127.0452,8002.3
11-21-2016,125.9303,7929.1
11-18-2016,129.4447,8074.1
11-17-2016,128.8759,8079.95
11-16-2016,129.3074,8111.6
11-15-2016,129.0818,8108.45
11-11-2016,134.8453,8296.3
11-10-2016,139.13,8525.75
11-09-2016,137.5991,8432
11-08-2016,140.236,8543.55
11-07-2016,139.5866,8497.05
11-04-2016,137.7626,8433.75
11-03-2016,140.1532,8484.95
11-02-2016,141.2401,8514
11-01-2016,142.8693,8626.25
10-28-2016,142.1217,8625.7
10-27-2016,141.179,8638
10-26-2016,141.7999,8615.25
10-25-2016,143.0509,8615.25
10-24-2016,142.9488,8691.3
10-21-2016,143.0261,8708.95
10-20-2016,143.314,8693.05
10-19-2016,143.3958,8699.4
10-18-2016,142.8973,8659.1
10-17-2016,141.1073,8677.9
10-14-2016,141.342,8520.4
10-13-2016,140.2017,8583.4
10-10-2016,142.6528,8573.35
10-07-2016,142.6881,8708.8
10-06-2016,143.2016,8697.6
10-05-2016,143.8022,8709.55
10-04-2016,142.2161,8743.95
10-03-2016,141.3797,8769.15
09-30-2016,138.5722,8738.1
09-29-2016,136.5692,8611.15
09-28-2016,140.96,8591.25
09-27-2016,140.0174,8745.15
09-26-2016,140.3227,8706.4
09-23-2016,141.3089,8723.05
09-22-2016,141.1993,8831.55
09-21-2016,139.3341,8867.45
09-20-2016,139.1051,8777.15
09-19-2016,139.1002,8775.9
09-16-2016,139.3332,8808.4
09-15-2016,138.8278,8779.85
09-14-2016,138.7523,8742.55
09-12-2016,138.3846,8726.6
09-09-2016,140.521,8715.6
09-08-2016,140.7089,8866.7
09-07-2016,140.4888,8952.5
09-06-2016,140.9751,8917.95
09-02-2016,140.0879,8943
09-01-2016,138.676,8809.65
